{'Time': '2022-11-15T12:08:02.033418', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5403343', 'Eth0-1_In_uPackets': '16577', 'Eth0-1_Out_Octet': '1874018', 'Eth0-1_Out_uPackets': '16900'}
{'Time': '2022-11-15T12:09:01.979804', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5476755', 'Eth0-1_In_uPackets': '16587', 'Eth0-1_Out_Octet': '1874890', 'Eth0-1_Out_uPackets': '16912'}
{'Time': '2022-11-15T12:10:01.874753', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5516940', 'Eth0-1_In_uPackets': '16593', 'Eth0-1_Out_Octet': '1875760', 'Eth0-1_Out_uPackets': '16924'}
{'Time': '2022-11-15T12:11:01.811387', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5543997', 'Eth0-1_In_uPackets': '16603', 'Eth0-1_Out_Octet': '1876630', 'Eth0-1_Out_uPackets': '16936'}
{'Time': '2022-11-15T12:12:01.733975', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5571757', 'Eth0-1_In_uPackets': '16615', 'Eth0-1_Out_Octet': '1877623', 'Eth0-1_Out_uPackets': '16950'}
{'Time': '2022-11-15T12:13:01.635675', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5597730', 'Eth0-1_In_uPackets': '16625', 'Eth0-1_Out_Octet': '1878498', 'Eth0-1_Out_uPackets': '16962'}
{'Time': '2022-11-15T12:14:01.512537', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5691911', 'Eth0-1_In_uPackets': '16631', 'Eth0-1_Out_Octet': '1879373', 'Eth0-1_Out_uPackets': '16974'}
{'Time': '2022-11-15T12:15:01.512144', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5733592', 'Eth0-1_In_uPackets': '16641', 'Eth0-1_Out_Octet': '1880245', 'Eth0-1_Out_uPackets': '16986'}
{'Time': '2022-11-15T12:16:01.465889', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5772451', 'Eth0-1_In_uPackets': '16647', 'Eth0-1_Out_Octet': '1881115', 'Eth0-1_Out_uPackets': '16998'}
{'Time': '2022-11-15T12:17:01.368654', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5799019', 'Eth0-1_In_uPackets': '16653', 'Eth0-1_Out_Octet': '1881988', 'Eth0-1_Out_uPackets': '17010'}
{'Time': '2022-11-15T12:18:01.258817', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5823737', 'Eth0-1_In_uPackets': '16659', 'Eth0-1_Out_Octet': '1882860', 'Eth0-1_Out_uPackets': '17022'}
{'Time': '2022-11-15T12:19:02.145734', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5888100', 'Eth0-1_In_uPackets': '16669', 'Eth0-1_Out_Octet': '1883733', 'Eth0-1_Out_uPackets': '17034'}
{'Time': '2022-11-15T12:20:02.059952', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5950109', 'Eth0-1_In_uPackets': '16675', 'Eth0-1_Out_Octet': '1884608', 'Eth0-1_Out_uPackets': '17046'}
{'Time': '2022-11-15T12:21:02.065490', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5989443', 'Eth0-1_In_uPackets': '16685', 'Eth0-1_Out_Octet': '1885483', 'Eth0-1_Out_uPackets': '17058'}
{'Time': '2022-11-15T12:22:02.010423', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6029264', 'Eth0-1_In_uPackets': '16695', 'Eth0-1_Out_Octet': '1886355', 'Eth0-1_Out_uPackets': '17070'}
{'Time': '2022-11-15T12:23:01.899576', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6057043', 'Eth0-1_In_uPackets': '16705', 'Eth0-1_Out_Octet': '1887228', 'Eth0-1_Out_uPackets': '17082'}
{'Time': '2022-11-15T12:24:01.843243', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6116611', 'Eth0-1_In_uPackets': '16711', 'Eth0-1_Out_Octet': '1888100', 'Eth0-1_Out_uPackets': '17094'}
{'Time': '2022-11-15T12:25:01.845828', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6145871', 'Eth0-1_In_uPackets': '16721', 'Eth0-1_Out_Octet': '1888973', 'Eth0-1_Out_uPackets': '17106'}
{'Time': '2022-11-15T12:26:01.797570', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6205966', 'Eth0-1_In_uPackets': '16727', 'Eth0-1_Out_Octet': '1889848', 'Eth0-1_Out_uPackets': '17118'}
{'Time': '2022-11-15T12:27:01.677925', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6243745', 'Eth0-1_In_uPackets': '16733', 'Eth0-1_Out_Octet': '1890720', 'Eth0-1_Out_uPackets': '17130'}
{'Time': '2022-11-15T12:28:01.577790', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6281772', 'Eth0-1_In_uPackets': '16741', 'Eth0-1_Out_Octet': '1891713', 'Eth0-1_Out_uPackets': '17144'}
{'Time': '2022-11-15T12:29:01.474684', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6345226', 'Eth0-1_In_uPackets': '16751', 'Eth0-1_Out_Octet': '1892588', 'Eth0-1_Out_uPackets': '17156'}
{'Time': '2022-11-15T12:30:01.344419', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6372224', 'Eth0-1_In_uPackets': '16757', 'Eth0-1_Out_Octet': '1893460', 'Eth0-1_Out_uPackets': '17168'}
{'Time': '2022-11-15T12:31:02.251482', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6399193', 'Eth0-1_In_uPackets': '16767', 'Eth0-1_Out_Octet': '1894330', 'Eth0-1_Out_uPackets': '17180'}
{'Time': '2022-11-15T12:32:02.164901', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6457504', 'Eth0-1_In_uPackets': '16779', 'Eth0-1_Out_Octet': '1895320', 'Eth0-1_Out_uPackets': '17194'}
{'Time': '2022-11-15T12:33:02.093948', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6493115', 'Eth0-1_In_uPackets': '16789', 'Eth0-1_Out_Octet': '1896193', 'Eth0-1_Out_uPackets': '17206'}
{'Time': '2022-11-15T12:34:02.032836', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6562523', 'Eth0-1_In_uPackets': '16795', 'Eth0-1_Out_Octet': '1897065', 'Eth0-1_Out_uPackets': '17218'}
{'Time': '2022-11-15T12:35:01.980232', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6589942', 'Eth0-1_In_uPackets': '16805', 'Eth0-1_Out_Octet': '1897938', 'Eth0-1_Out_uPackets': '17230'}
{'Time': '2022-11-15T12:36:01.952485', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6613030', 'Eth0-1_In_uPackets': '16811', 'Eth0-1_Out_Octet': '1898810', 'Eth0-1_Out_uPackets': '17242'}
{'Time': '2022-11-15T12:37:01.852618', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6635868', 'Eth0-1_In_uPackets': '16817', 'Eth0-1_Out_Octet': '1899683', 'Eth0-1_Out_uPackets': '17254'}
{'Time': '2022-11-15T12:38:01.791000', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6691008', 'Eth0-1_In_uPackets': '16823', 'Eth0-1_Out_Octet': '1900558', 'Eth0-1_Out_uPackets': '17266'}
{'Time': '2022-11-15T12:39:01.684291', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6763642', 'Eth0-1_In_uPackets': '16833', 'Eth0-1_Out_Octet': '1901433', 'Eth0-1_Out_uPackets': '17278'}
{'Time': '2022-11-15T12:40:01.598248', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6799237', 'Eth0-1_In_uPackets': '16839', 'Eth0-1_Out_Octet': '1902305', 'Eth0-1_Out_uPackets': '17290'}
{'Time': '2022-11-15T12:41:01.530388', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6826986', 'Eth0-1_In_uPackets': '16849', 'Eth0-1_Out_Octet': '1903175', 'Eth0-1_Out_uPackets': '17302'}
{'Time': '2022-11-15T12:42:01.432988', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6853734', 'Eth0-1_In_uPackets': '16859', 'Eth0-1_Out_Octet': '1904045', 'Eth0-1_Out_uPackets': '17314'}
{'Time': '2022-11-15T12:43:01.360076', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6880715', 'Eth0-1_In_uPackets': '16869', 'Eth0-1_Out_Octet': '1904918', 'Eth0-1_Out_uPackets': '17326'}
{'Time': '2022-11-15T12:44:01.262996', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6978985', 'Eth0-1_In_uPackets': '16875', 'Eth0-1_Out_Octet': '1905793', 'Eth0-1_Out_uPackets': '17338'}
{'Time': '2022-11-15T12:45:02.198543', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7017366', 'Eth0-1_In_uPackets': '16885', 'Eth0-1_Out_Octet': '1906665', 'Eth0-1_Out_uPackets': '17350'}
{'Time': '2022-11-15T12:46:02.110255', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7056642', 'Eth0-1_In_uPackets': '16891', 'Eth0-1_Out_Octet': '1907535', 'Eth0-1_Out_uPackets': '17362'}
{'Time': '2022-11-15T12:47:01.985640', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7081740', 'Eth0-1_In_uPackets': '16897', 'Eth0-1_Out_Octet': '1908408', 'Eth0-1_Out_uPackets': '17374'}
{'Time': '2022-11-15T12:48:01.905767', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7106389', 'Eth0-1_In_uPackets': '16905', 'Eth0-1_Out_Octet': '1909400', 'Eth0-1_Out_uPackets': '17388'}
{'Time': '2022-11-15T12:49:01.824400', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7170263', 'Eth0-1_In_uPackets': '16915', 'Eth0-1_Out_Octet': '1910273', 'Eth0-1_Out_uPackets': '17400'}
{'Time': '2022-11-15T12:50:01.718139', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7235400', 'Eth0-1_In_uPackets': '16921', 'Eth0-1_Out_Octet': '1911145', 'Eth0-1_Out_uPackets': '17412'}
{'Time': '2022-11-15T12:51:01.632583', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7275220', 'Eth0-1_In_uPackets': '16931', 'Eth0-1_Out_Octet': '1912018', 'Eth0-1_Out_uPackets': '17424'}
{'Time': '2022-11-15T12:52:01.513138', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7315274', 'Eth0-1_In_uPackets': '16943', 'Eth0-1_Out_Octet': '1913013', 'Eth0-1_Out_uPackets': '17438'}
{'Time': '2022-11-15T12:53:01.398246', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7344181', 'Eth0-1_In_uPackets': '16953', 'Eth0-1_Out_Octet': '1913888', 'Eth0-1_Out_uPackets': '17450'}
{'Time': '2022-11-15T12:54:01.285480', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7404222', 'Eth0-1_In_uPackets': '16959', 'Eth0-1_Out_Octet': '1914763', 'Eth0-1_Out_uPackets': '17462'}
{'Time': '2022-11-15T12:55:02.164535', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7435583', 'Eth0-1_In_uPackets': '16969', 'Eth0-1_Out_Octet': '1915635', 'Eth0-1_Out_uPackets': '17474'}
{'Time': '2022-11-15T12:56:02.086291', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7497539', 'Eth0-1_In_uPackets': '16975', 'Eth0-1_Out_Octet': '1916505', 'Eth0-1_Out_uPackets': '17486'}
{'Time': '2022-11-15T12:57:02.033076', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7534544', 'Eth0-1_In_uPackets': '16981', 'Eth0-1_Out_Octet': '1917375', 'Eth0-1_Out_uPackets': '17498'}
{'Time': '2022-11-15T12:58:01.944876', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7574242', 'Eth0-1_In_uPackets': '16987', 'Eth0-1_Out_Octet': '1918248', 'Eth0-1_Out_uPackets': '17510'}
{'Time': '2022-11-15T12:59:01.838972', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7638266', 'Eth0-1_In_uPackets': '17016', 'Eth0-1_Out_Octet': '1920633', 'Eth0-1_Out_uPackets': '17546'}
{'Time': '2022-11-15T13:00:01.848584', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7670481', 'Eth0-1_In_uPackets': '17099', 'Eth0-1_Out_Octet': '1925651', 'Eth0-1_Out_uPackets': '17616'}
{'Time': '2022-11-15T13:01:01.737650', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7704130', 'Eth0-1_In_uPackets': '17201', 'Eth0-1_Out_Octet': '1930851', 'Eth0-1_Out_uPackets': '17697'}
{'Time': '2022-11-15T13:02:01.627524', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7765944', 'Eth0-1_In_uPackets': '17210', 'Eth0-1_Out_Octet': '1931663', 'Eth0-1_Out_uPackets': '17708'}
{'Time': '2022-11-15T13:03:01.575529', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7805164', 'Eth0-1_In_uPackets': '17220', 'Eth0-1_Out_Octet': '1932536', 'Eth0-1_Out_uPackets': '17720'}
{'Time': '2022-11-15T13:04:01.483212', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7880866', 'Eth0-1_In_uPackets': '17258', 'Eth0-1_Out_Octet': '1935263', 'Eth0-1_Out_uPackets': '17762'}
{'Time': '2022-11-15T13:05:01.367000', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7911389', 'Eth0-1_In_uPackets': '17268', 'Eth0-1_Out_Octet': '1936138', 'Eth0-1_Out_uPackets': '17774'}
{'Time': '2022-11-15T13:06:01.279734', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7937890', 'Eth0-1_In_uPackets': '17274', 'Eth0-1_Out_Octet': '1937010', 'Eth0-1_Out_uPackets': '17786'}
{'Time': '2022-11-15T13:07:02.189568', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '7969064', 'Eth0-1_In_uPackets': '17305', 'Eth0-1_Out_Octet': '1939609', 'Eth0-1_Out_uPackets': '17824'}
{'Time': '2022-11-15T13:08:02.111896', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '8033298', 'Eth0-1_In_uPackets': '17363', 'Eth0-1_Out_Octet': '1943057', 'Eth0-1_Out_uPackets': '17878'}
{'Time': '2022-11-15T13:09:02.045813', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '8110360', 'Eth0-1_In_uPackets': '17452', 'Eth0-1_Out_Octet': '1948649', 'Eth0-1_Out_uPackets': '17967'}
{'Time': '2022-11-15T13:10:01.981139', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '8154441', 'Eth0-1_In_uPackets': '17458', 'Eth0-1_Out_Octet': '1949524', 'Eth0-1_Out_uPackets': '17979'}
{'Time': '2022-11-15T13:11:01.873238', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '8197682', 'Eth0-1_In_uPackets': '17694', 'Eth0-1_Out_Octet': '1964446', 'Eth0-1_Out_uPackets': '18221'}
{'Time': '2022-11-15T13:12:01.768203', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '8225551', 'Eth0-1_In_uPackets': '17706', 'Eth0-1_Out_Octet': '1965436', 'Eth0-1_Out_uPackets': '18235'}
{'Time': '2022-11-15T13:13:01.663059', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '8254569', 'Eth0-1_In_uPackets': '17716', 'Eth0-1_Out_Octet': '1966306', 'Eth0-1_Out_uPackets': '18247'}
{'Time': '2022-11-15T13:14:01.567927', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '8352345', 'Eth0-1_In_uPackets': '17722', 'Eth0-1_Out_Octet': '1967176', 'Eth0-1_Out_uPackets': '18259'}
{'Time': '2022-11-15T13:15:01.459819', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '8396253', 'Eth0-1_In_uPackets': '17732', 'Eth0-1_Out_Octet': '1968047', 'Eth0-1_Out_uPackets': '18271'}
{'Time': '2022-11-15T13:16:01.337143', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '8436019', 'Eth0-1_In_uPackets': '17738', 'Eth0-1_Out_Octet': '1968918', 'Eth0-1_Out_uPackets': '18283'}
